,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,System CAR Code (Daily),DPD,age,Vehicle Age
28124,26600.0,26368.95,36,0,4,12000.0,1,4,144,2013,0,PL,30,10
28137,18000.0,17326.18,18,1,4,12000.0,1,18,59,2017,0,PL,55,6
28168,40000.0,40000.0,24,0,0,25000.0,1,4,25,2022,1,NPL,47,1
28185,23000.0,21266.48,24,0,4,12000.0,1,4,157,2017,0,PL,22,6
28299,22500.0,22500.0,18,1,8,20000.0,1,4,144,2014,0,PL,33,9
28370,22500.0,22500.0,24,1,0,20000.0,1,4,111,2017,0,PL,49,6
28405,17000.0,16654.51,24,0,8,18000.0,1,4,143,2009,0,PL,33,14
28437,25600.0,22390.85,12,0,8,15000.0,0,12,108,2009,0,PL,52,14
28489,20000.0,17932.53,18,1,9,15000.0,1,4,144,2014,0,PL,62,9
28522,15000.0,15000.0,24,0,0,15000.0,1,4,144,2013,0,PL,26,10
28569,10000.0,9162.05,12,0,9,15000.0,1,4,148,2007,0,PL,50,16
28655,23000.0,23000.0,24,0,0,18000.0,1,4,111,2020,0,PL,27,3
28657,26000.0,26000.0,36,0,8,12000.0,1,4,144,2014,0,PL,43,9
28767,23000.0,23000.0,24,0,9,10000.0,1,4,157,2017,0,PL,46,6
28781,14300.0,13980.73,36,0,8,9000.0,1,4,144,2009,0,PL,47,14
28787,22500.0,21415.05,36,1,0,20000.0,1,18,83,2015,0,PL,28,8
28798,25000.0,0.0,24,1,8,15000.0,1,4,144,2021,0,PL,22,2
28810,15000.0,12631.53,12,0,4,9000.0,1,4,147,2019,0,PL,28,4
28829,28000.0,27930.47,24,0,0,15000.0,1,4,144,2015,0,PL,29,8
28834,28500.0,28500.0,24,0,0,12000.0,1,4,157,2019,0,PL,23,4
28854,29000.0,28780.14,36,0,0,10000.0,1,4,144,2016,0,PL,60,7
28867,28600.0,28600.0,24,0,8,15000.0,1,4,157,2019,0,PL,25,4
28890,27000.0,26768.36,36,0,8,10000.0,1,4,111,2019,0,PL,38,4
28907,25000.0,24729.96,36,1,9,15000.0,1,4,147,2020,0,PL,27,3
28936,9000.0,8656.85,18,0,8,10000.0,1,18,123,2011,0,PL,26,12
29023,150000.0,147811.3,60,0,0,20000.0,2,5,36,2003,0,PL,47,20
29176,26300.0,25077.97,36,0,8,10000.0,1,4,41,2011,0,PL,37,12
29193,13000.0,12897.06,36,1,0,15000.0,1,6,69,2012,0,PL,34,11
29268,28000.0,27010.19,18,0,0,30000.0,1,4,144,2016,0,PL,50,7
29282,15800.0,15739.95,18,0,4,19000.0,1,4,111,2010,0,PL,37,13
29390,20000.0,16835.34,12,0,8,20000.0,1,4,157,2015,0,PL,52,8
29451,28600.0,27634.55,24,0,0,15000.0,1,4,144,2015,0,PL,27,8
29491,27000.0,27000.0,36,0,8,20000.0,1,4,144,2012,0,PL,34,11
29524,26000.0,25421.83,24,0,4,13000.0,1,4,144,2013,0,PL,27,10
29604,26500.0,26500.0,24,1,4,13500.0,1,18,53,2020,0,PL,46,3
29630,20000.0,20000.0,36,0,4,12000.0,1,4,111,2013,0,PL,29,10
29646,13000.0,12527.1,18,0,8,14500.0,1,18,50,2010,0,PL,34,13
29663,21300.0,21293.01,72,0,0,15000.0,0,16,119,2000,1,PL,40,23
29667,210000.0,210000.0,120,1,4,25000.0,2,10,139,2013,1,PL,59,10
29671,200000.0,200000.0,120,0,9,15000.0,0,16,30,2008,1,PL,54,15
29673,127000.0,123752.44,72,0,4,15000.0,0,2,47,2012,1,PL,51,11
29675,140000.0,140000.0,120,0,9,15000.0,0,16,30,2008,1,PL,54,15
29677,192000.0,192000.0,120,1,8,25000.0,2,5,36,2011,1,PL,36,12
29678,237000.0,237000.0,120,0,9,15000.0,0,16,30,2008,1,PL,54,15
29681,33000.0,33000.0,72,0,8,15000.0,1,4,144,2020,1,PL,27,3
29682,178000.0,178000.0,120,0,7,20000.0,0,4,20,2007,1,PL,43,16
29684,26000.0,26000.0,36,0,4,24000.0,1,4,147,2018,0,PL,39,5
29833,23000.0,23000.0,24,0,7,29360.0,1,3,38,2019,0,PL,37,4
29896,30000.0,30000.0,72,1,4,25000.0,2,10,139,2013,1,PL,59,10
29897,160000.0,160000.0,120,1,4,25000.0,2,10,139,2013,1,PL,59,10
29902,35000.0,35000.0,48,0,4,15000.0,1,4,110,2022,1,PL,31,1
29910,138000.0,138000.0,84,0,0,12000.0,2,5,36,2003,1,PL,36,20
29911,120000.0,120000.0,120,0,4,20000.0,0,4,68,2006,1,PL,47,17
29913,27000.0,27000.0,48,1,8,12000.0,1,4,145,2019,1,PL,35,4
29917,178000.0,177236.11,96,1,0,13000.0,0,16,142,2011,1,PL,41,12
30023,13500.0,13185.45,24,0,8,20000.0,1,4,144,2008,0,PL,44,15
30067,150000.0,146444.65,96,1,8,17500.0,2,16,64,2004,1,PL,40,19
30073,170000.0,170000.0,120,0,0,12000.0,2,16,124,2004,1,PL,39,19
30076,235000.0,235000.0,120,1,1,17270.0,2,16,65,2012,1,PL,35,11
30078,190400.0,190400.0,96,0,4,15000.0,2,5,36,2005,1,PL,30,18
30084,210000.0,210000.0,96,1,1,19000.0,0,16,30,2013,1,PL,29,10
30087,33000.0,33000.0,72,0,8,15000.0,1,4,144,2019,1,PL,26,4
30089,65000.0,65000.0,120,0,8,14000.0,0,16,142,2004,1,PL,39,19
30091,110000.0,110000.0,72,0,4,15000.0,0,16,142,2006,1,PL,35,17
30095,50000.0,50000.0,84,0,0,10000.0,0,16,119,2002,1,PL,25,21
30099,172000.0,172000.0,84,0,9,30000.0,0,16,142,2009,1,PL,36,14
30103,144000.0,144000.0,84,0,9,30000.0,0,16,142,2009,1,PL,36,14
30105,236650.27,234861.92,60,1,4,17000.0,2,5,36,2008,1,PL,58,15
30107,110000.0,110000.0,72,0,0,20000.0,0,16,30,2005,1,PL,53,18
30115,61500.0,61500.0,48,0,0,15000.0,1,4,99,2021,1,PL,39,2
30116,228000.0,226711.42,120,1,8,20000.0,2,16,65,2010,1,PL,33,13
30138,215000.0,214731.65,60,1,0,27000.0,2,5,36,2006,0,PL,38,17
30213,14200.0,14200.0,24,0,8,25000.0,1,4,144,2009,0,PL,26,14
30468,6900.0,6337.65,24,0,8,18000.0,1,4,146,2005,1,PL,37,18
30469,95354.41,93976.37,48,1,7,24000.0,0,16,12,2003,1,PL,62,20
30475,40000.0,40000.0,48,0,0,15000.0,1,4,99,2021,1,PL,39,2
31038,33700.0,33700.0,72,1,4,15000.0,1,18,154,2017,1,PL,30,6
31043,34802.66,34802.66,72,1,4,15000.0,1,18,154,2017,1,PL,30,6
31044,35000.0,35000.0,72,0,4,15000.0,1,4,42,2017,1,PL,23,6
31048,214500.0,212481.0,120,0,8,13000.0,2,5,36,2007,1,PL,36,16
31053,27000.0,27000.0,54,0,8,8000.0,1,4,144,2012,1,PL,47,11
31057,164477.34,164477.34,72,1,0,15000.0,0,4,20,2009,1,PL,37,14
31059,40000.0,40000.0,72,1,4,25000.0,1,18,151,2019,1,PL,46,4
31061,133000.0,129625.3,72,1,4,16236.0,0,16,142,2007,1,PL,33,16
31062,33000.0,33000.0,54,1,8,10000.0,1,4,41,2015,1,PL,56,8
31455,20500.0,20023.96,24,1,8,25000.0,0,4,19,1997,0,PL,40,26
31492,26000.0,26000.0,24,0,0,14000.0,1,4,144,2013,0,PL,27,10
31555,32637.59,31016.74,48,1,8,10000.0,1,4,144,2020,1,PL,55,3
31556,114000.0,114000.0,120,0,9,20000.0,0,4,68,2005,1,PL,35,18
31561,123100.0,120212.06,84,1,7,15500.0,0,8,0,2010,1,PL,38,13
31562,250000.0,250000.0,84,1,4,30000.0,2,5,36,2013,1,PL,38,10
31587,15000.0,14816.18,36,0,8,9000.0,1,4,144,2010,0,PL,36,13
31624,13000.0,10900.96,12,0,4,16000.0,1,4,111,2010,0,PL,42,13
32219,8000.0,7453.6,12,0,4,14000.0,1,18,80,2007,0,PL,27,16
32387,24700.0,24008.94,24,0,0,7000.0,1,4,111,2018,0,PL,30,5
32572,30581.53,29936.79,36,1,8,20000.0,1,4,144,2018,1,PL,39,5
32724,220000.0,220000.0,120,1,8,25000.0,2,16,65,2012,1,PL,50,11
32811,25000.0,23252.6,12,0,9,10000.0,1,4,41,2016,0,PL,60,7
33045,29300.0,29300.0,36,0,0,19000.0,1,4,147,2019,0,PL,31,4
33172,10000.0,9653.91,24,0,0,10000.0,1,15,74,2013,0,PL,52,10
33214,27900.0,25804.97,24,0,0,12000.0,1,4,144,2015,1,NPL,34,8
33215,150000.0,148091.17,84,1,8,10000.0,2,16,64,2004,1,PL,41,19
33216,240000.0,240000.0,84,0,8,13500.0,2,5,36,2007,1,PL,48,16
33651,27000.0,26421.83,42,1,8,18000.0,1,4,144,2012,1,PL,32,11
33696,18000.0,18000.0,30,0,4,18000.0,1,4,86,2017,0,PL,27,6
34047,16453.79,15942.01,60,1,8,23300.0,1,3,38,2017,1,PL,37,6
34049,21921.26,21921.26,60,0,8,12000.0,1,4,144,2011,1,PL,39,12
34052,46000.0,46000.0,72,0,8,30000.0,1,4,97,2017,1,PL,58,6
34279,27500.0,26931.12,36,0,9,15000.0,1,4,144,2019,0,PL,42,4
34466,130000.0,130000.0,108,0,4,15000.0,2,16,64,2003,1,PL,37,20
34472,155000.0,154322.31,120,0,8,15000.0,0,16,142,2011,1,PL,35,12
34855,15400.0,15400.0,36,0,0,15000.0,1,4,111,2009,1,PL,24,14
34897,17200.0,17200.0,36,0,4,20000.0,1,4,111,2010,0,PL,36,13
34958,23000.0,20853.97,18,0,0,15000.0,1,4,131,2018,0,PL,44,5
35042,130000.0,125960.4,72,0,5,19230.0,2,16,64,2002,1,PL,51,21
35043,195000.0,192497.35,96,1,9,20000.0,0,4,19,2013,1,PL,43,10
35148,47700.0,46542.55,48,1,8,15000.0,1,18,154,2022,1,PL,27,1
35149,110000.0,108685.71,120,0,0,18000.0,0,4,68,2004,1,PL,59,19
35313,12000.0,12000.0,24,0,0,30000.0,1,18,50,2008,0,PL,44,15
35460,14000.0,13480.7,24,0,0,20000.0,1,15,114,2014,0,PL,33,9
35543,29000.0,29000.0,36,1,0,30000.0,1,4,144,2016,0,PL,34,7
35666,28000.0,27704.19,24,0,4,24000.0,1,18,58,2017,0,PL,38,6
35841,12300.0,11277.56,12,0,8,26000.0,1,4,111,2013,0,PL,47,10
36035,260000.0,260000.0,120,1,8,15000.0,2,16,65,2010,1,PL,52,13
36038,200000.0,196819.85,96,1,9,25000.0,2,16,65,2014,1,PL,52,9
36039,240000.0,238196.29,120,1,4,15000.0,2,16,55,2005,1,PL,39,18
36044,110000.0,110000.0,84,0,9,25000.0,1,18,58,2015,1,PL,24,8
36051,137000.0,137000.0,120,0,7,20000.0,0,16,30,2009,1,PL,55,14
36257,24000.0,24000.0,24,0,0,10000.0,1,4,111,2017,0,PL,58,6
36376,177800.0,177800.0,120,1,8,25000.0,0,10,71,2012,1,PL,36,11
36378,30000.0,29311.7,48,0,9,10000.0,1,4,144,2016,1,PL,43,7
36379,188000.0,188000.0,120,0,1,25000.0,0,16,142,2012,1,PL,42,11
36385,179252.3,176501.79,84,1,8,12000.0,2,16,65,2006,1,PL,61,17
36386,119000.0,118413.45,84,0,7,18000.0,0,11,5,2012,1,PL,51,11
36389,233201.99,229251.13,72,1,8,13000.0,2,16,65,2007,1,PL,35,16
36391,23400.0,22731.59,42,1,8,18000.0,1,4,144,2012,1,PL,51,11
36673,30000.0,27583.17,30,0,8,15000.0,1,4,144,2016,0,PL,55,7
36788,25000.0,24992.22,36,0,4,15000.0,1,4,144,2019,0,PL,45,4
36825,80000.0,80000.0,48,1,4,12000.0,1,18,150,2019,1,PL,45,4
36828,19662.51,18729.86,42,0,4,12000.0,1,4,145,2017,1,PL,37,6
36830,195000.0,195000.0,120,0,4,18000.0,0,16,152,2012,1,PL,29,11
36832,32300.0,31717.52,48,0,8,20000.0,1,4,144,2018,1,PL,59,5
