,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age,per_LTV,per_LTV_cate
103,20000,18482.01,24,M,อื่นๆ,15000,MC,YAMAHA,QBIX 125 S,2018,BX,36500,S1,15/11/2022,S1,PL,25,5,54.79452055,50-65%
104,135500,135500,48,F,STREET VENDOR,15000,CAR,NISSAN,MARCH,2017,AK,208500,S1,3/11/2022,S1,PL,64,6,64.98800959,65-75%
105,39700,39700,36,M,อื่นๆ,15000,MC,HONDA,DREAM 110I,2017,CO,53000,S1,31/12/2022,S1,PL,34,6,74.90566038,65-75%
106,18000,17695.93,36,F,STREET VENDOR,9000,MC,HONDA,SCOOPY I,2013,BG,24000,S1,27/7/2022,S1,PL,48,10,75,65-75%
107,80000,78882.2,48,F,พนักงานบริษัท,15000,CAR,HONDA,CITY,2003,AI,118500,S1,8/11/2022,S1,PL,36,20,67.51054852,65-75%
108,130000,130000,60,M,เกษตรกร,15000,PU,MITSUBISHI,TRITON,2007,BF,205000,S1,15/11/2022,S1,PL,57,16,63.41463415,65-75%
109,8000,7759.89,18,F,อาจารย์,20280,MC,HONDA,CLICK 110,2008,AB,14000,S1,15/10/2022,S1,PL,43,15,57.14285714,50-65%
110,31500,31495.35,36,M,อื่นๆ,20000,MC,HONDA,CLICK 125I,2019,BD,42000,S1,9/8/2022,S1,PL,45,4,75,65-75%
111,33000,32926.1,24,M,พนักงานบริษัท,20000,MC,YAMAHA,AEROX 155,2018,AB,44000,S1,21/11/2022,S1,PL,48,5,75,65-75%
112,24000,24000,36,M,อื่นๆ,20000,MC,HONDA,WAVE 125 I,2017,CP,32500,S1,6/12/2022,S1,PL,35,6,73.84615385,65-75%
113,250000,249921.06,48,F,เกษตรกร,40000,PU,ISUZU,D-MAX,2013,BR,374500,S1,6/7/2022,S1,PL,38,10,66.75567423,65-75%
114,40000,37930.36,24,F,เกษตรกร,20000,MC,KAWASAKI,ER6N 650,2012,AF,81000,S1,9/9/2022,S1,PL,22,11,49.38271605,30-50%
116,33000,32964.99,30,M,อื่นๆ,24000,MC,HONDA,WAVE 110 I,2020,EI,45000,S1,27/8/2022,S1,PL,43,3,73.33333333,65-75%
117,15000,14828.28,24,M,พนักงานบริษัท,15000,MC,HONDA,SCOOPY I,2009,BA,20500,S1,10/9/2022,S1,PL,31,14,73.17073171,65-75%
118,28500,27192.47,24,F,อื่นๆ,13000,MC,HONDA,WAVE 110 I,2012,BF,38000,S1,13/12/2022,S1,PL,59,11,75,65-75%
119,198000,197944.65,60,F,อื่นๆ,17000,CAR,TOYOTA,COROLLA ALTIS,2012,ER,305000,S1,26/7/2022,S1,PL,43,11,64.91803279,65-75%
120,30000,28513.43,36,F,เกษตรกร,20000,MC,HONDA,WAVE 110 I,2018,DE,41000,S1,12/9/2022,S1,PL,50,5,73.17073171,65-75%
121,170000,170000,48,M,อื่นๆ,15000,PU,MITSUBISHI,TRITON,2013,AY,346000,S1,3/12/2022,S1,PL,37,10,49.13294798,30-50%
