,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age
1480,40000.0,40000.0,24,M,เกษตรกร,17000.0,CAR,CHEVROLET,CRUZE,2012,AF,202000,S3,2023-01-02,S2,NPL,53,11
1481,15000.0,15000.0,18,F,STREET VENDOR,20000.0,MC,YAMAHA,N-MAX 155,2020,BJ,72500,S3,2023-01-13,S2,NPL,41,3
1482,190000.0,190000.0,60,M,อื่นๆ,14500.0,PU,TOYOTA,HILUX VIGO,2008,BW,276000,S3,2023-01-08,S2,NPL,35,15
1483,30000.0,27904.3,36,F,STREET VENDOR,25000.0,MC,HONDA,PCX 150,2016,CF,56000,S1,2023-01-06,S3,NPL,28,7
1485,26000.0,26000.0,36,M,พนักงานบริษัท,16000.0,MC,HONDA,WAVE 110 I,2013,BW,35000,S3,2023-01-08,S2,NPL,46,10
1486,40000.0,40000.0,36,F,STREET VENDOR,15000.0,MC,HONDA,DREAM 110I,2017,CO,53000,S3,2023-01-13,S2,NPL,27,6
1487,25000.0,25000.0,24,F,พนักงานบริษัท,14000.0,MC,HONDA,SCOOPY I,2019,CK,38500,S3,2023-01-02,S2,NPL,28,4
1488,19500.0,19500.0,36,M,STREET VENDOR,30000.0,MC,HONDA,DREAM 110,2014,CA,42000,S3,2023-01-02,S2,NPL,37,9
1489,210000.0,210000.0,60,F,พนักงานบริษัท,25000.0,CAR,TOYOTA,VIOS,2013,DU,290000,S3,2023-01-05,S2,NPL,35,10
1490,21000.0,21000.0,24,M,อื่นๆ,15000.0,MC,HONDA,WAVE 110 I,2011,AI,21000,S3,2023-01-13,S2,NPL,41,12
1491,15000.0,15000.0,30,M,พนักงานบริษัท,15000.0,MC,HONDA,WAVE 110 I,2011,AI,21000,S3,2023-01-02,S2,NPL,28,12
1492,15800.0,15800.0,24,M,อื่นๆ,15000.0,MC,HONDA,WAVE 110 I,2011,AI,21000,S3,2023-01-02,S2,NPL,60,12
1493,160000.0,157727.65,24,F,STREET VENDOR,25000.0,PU,MAZDA,BT-50,2011,AX,249500,S2,2023-01-15,S3,NPL,30,12
1494,21500.0,21500.0,24,M,อื่นๆ,15000.0,MC,HONDA,WAVE 110 I,2011,AI,21000,S3,2023-01-02,S2,NPL,60,12
1495,14500.0,14500.0,36,F,STREET VENDOR,16000.0,MC,YAMAHA,SPARK 115 I,2013,AK,19500,S3,2023-01-08,S2,NPL,67,10
1496,32000.0,32000.0,36,M,STREET VENDOR,15000.0,MC,HONDA,WAVE 110I,2021,CD,43500,S3,2023-01-05,S2,NPL,48,2
1497,20000.0,20000.0,24,F,STREET VENDOR,30000.0,MC,HONDA,WAVE 110 I,2018,DI,43000,S3,2023-01-13,S2,NPL,36,5
1498,240000.0,240000.0,60,M,STREET VENDOR,15000.0,CAR,TOYOTA,VIOS,2015,DL,319000,S3,2023-01-08,S2,NPL,29,8
1499,11000.0,11000.0,12,F,พนักงานบริษัท,25000.0,MC,SUZUKI,SKYDRIVE 125,2012,AD,17500,S2,2022-11-18,S1,NPL,35,11
1500,33000.0,33000.0,36,M,ข้าราชการ,15500.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S3,2023-01-05,S2,NPL,28,4
1502,8000.0,8000.0,36,F,พนักงานบริษัท,15000.0,MC,YAMAHA,MIO 125,2010,AE,12500,S3,2023-01-02,S2,NPL,27,13
1503,228800.0,228800.0,60,F,พนักงานบริษัท,16300.0,PU,TOYOTA,HILUX VIGO,2008,EO,286000,S3,2023-01-08,S2,NPL,36,15
1504,10000.0,10000.0,12,F,พนักงานบริษัท,20000.0,MC,GPX,DEMON 125,2016,AF,16000,S3,2023-01-02,S2,NPL,32,7
