,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age,per_LTV,per_LTV_cate,F,M
124,186200.0,186200.0,60,พนักงานรัฐวิสาหกิจ,22500.0,PU,NISSAN,NP300,2014,CP,286500,S1,2022-09-16,S1,PL,44,9,64.9912739965096,65-75%,0,1
125,20000.0,18860.27,24,พนักงานบริษัท,16500.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,2022-09-23,S1,PL,42,4,45.45454545454545,30-50%,0,1
126,7600.0,4757.49,12,เกษตรกร,15000.0,MC,HONDA,WAVE 125,2006,AL,25500,S1,2022-06-29,S1,PL,53,17,29.80392156862745,30%,1,0
127,155000.0,154961.5,60,พนักงานบริษัท,20000.0,PU,ISUZU,D-MAX,2003,AI,190500,S1,2022-09-02,S1,PL,47,20,81.36482939632546,75%,0,1
128,100000.0,100000.0,48,STREET VENDOR,12000.0,CAR,HONDA,JAZZ,2004,AI,140000,S1,2022-10-15,S1,PL,61,19,71.42857142857143,65-75%,1,0
130,20000.0,20000.0,36,STREET VENDOR,15000.0,MC,YAMAHA,GRAND FILANO 125,2018,AS,38500,S1,2022-12-29,S1,PL,39,5,51.94805194805194,50-65%,1,0
131,28500.0,28500.0,36,พนักงานรัฐวิสาหกิจ,18000.0,MC,HONDA,SCOOPY I,2020,DB,38000,S1,2022-12-27,S1,PL,33,3,75.0,65-75%,1,0
132,30000.0,29235.2,24,เกษตรกร,10000.0,MC,HONDA,WAVE 110 I,2017,CT,41000,S1,2022-10-26,S1,PL,53,6,73.17073170731707,65-75%,0,1
133,21500.0,20673.48,36,อื่นๆ,15000.0,MC,HONDA,WAVE 125 X,2007,AX,29000,S1,2022-09-21,S1,PL,51,16,74.13793103448276,65-75%,1,0
134,110000.0,110000.0,60,STREET VENDOR,13000.0,CAR,MITSUBISHI,MIRAGE,2012,BF,180000,S1,2022-12-14,S1,PL,52,11,61.111111111111114,65-75%,1,0
135,29800.0,29800.0,36,อื่นๆ,9000.0,MC,HONDA,MSX 125,2019,BY,39500,S1,2022-12-26,S1,PL,53,4,75.44303797468355,75%,1,0
136,26000.0,25019.36,36,พนักงานบริษัท,21000.0,MC,HONDA,WAVE 110 I,2014,CH,35000,S1,2022-10-21,S1,PL,41,9,74.28571428571429,65-75%,1,0
137,26000.0,26000.0,24,อื่นๆ,15000.0,MC,HONDA,WAVE 110 I,2013,BW,35000,S1,2022-12-07,S1,PL,33,10,74.28571428571429,65-75%,0,1
138,9000.0,9000.0,12,พนักงานบริษัท,12000.0,MC,YAMAHA,MIO 125,2010,AE,12500,S1,2022-12-28,S1,PL,44,13,72.0,65-75%,1,0
139,28500.0,28500.0,36,พนักงานรัฐวิสาหกิจ,18000.0,MC,HONDA,SCOOPY I,2020,DB,38000,S1,2022-12-27,S1,PL,33,3,75.0,65-75%,1,0
140,190000.0,189434.5,60,อื่นๆ,20210.0,CAR,TOYOTA,VIOS,2013,DV,253500,S1,2022-10-05,S1,PL,42,10,74.95069033530572,65-75%,0,1
141,144600.0,141170.39,48,พนักงานบริษัท,20000.0,CAR,NISSAN,ALMERA,2013,BL,222500,S1,2022-08-03,S1,PL,38,10,64.98876404494382,65-75%,0,1
142,29000.0,27357.37,30,STREET VENDOR,15000.0,MC,HONDA,SCOOPY I,2019,CK,38500,S1,2022-11-03,S1,PL,49,4,75.32467532467533,75%,1,0
143,40000.0,36527.24,36,พนักงานบริษัท,15000.0,MC,HONDA,PCX 150,2018,DD,64500,S1,2022-07-16,S1,PL,23,5,62.01550387596899,65-75%,1,0
145,31500.0,31500.0,36,พนักงานบริษัท,7000.0,MC,HONDA,CLICK 125I,2019,BD,42000,S1,2022-12-24,S1,PL,26,4,75.0,65-75%,1,0
146,33000.0,33000.0,24,เกษตรกร,30000.0,MC,HONDA,WAVE 110 I,2020,EG,44000,S1,2022-12-22,S1,PL,34,3,75.0,65-75%,0,1
147,100000.0,98190.75,24,บุคลากรทางการแพทย์,20000.0,CAR,HONDA,JAZZ,2011,BI,288000,S1,2022-11-02,S1,PL,38,12,34.72222222222222,30-50%,1,0
148,57000.0,57000.0,36,อื่นๆ,9880.0,MC,HONDA,PCX 150,2020,ED,76500,S1,2022-12-07,S1,PL,27,3,74.50980392156863,65-75%,1,0
149,30000.0,28167.07,12,เกษตรกร,15000.0,PU,ISUZU,D-MAX,2018,AK,462000,S1,2022-10-12,S1,PL,46,5,6.493506493506493,30%,0,1
150,150000.0,149980.13,60,อาจารย์,22230.0,CAR,SUZUKI,SWIFT,2013,AD,265500,S1,2022-09-17,S1,PL,30,10,56.49717514124294,50-65%,1,0
151,187000.0,187000.0,36,พนักงานบริษัท,16000.0,CAR,TOYOTA,CAMRY,2008,AB,289000,S1,2022-12-13,S1,PL,55,15,64.70588235294117,65-75%,0,1
152,150000.0,150000.0,48,พนักงานบริษัท,20000.0,CAR,SUZUKI,SWIFT,2015,AH,236000,S1,2022-12-24,S1,PL,43,8,63.559322033898304,65-75%,0,1
153,16000.0,16000.0,12,อื่นๆ,25000.0,MC,HONDA,CLICK 125I,2011,AZ,22000,S1,2022-09-23,S1,PL,40,12,72.72727272727273,65-75%,0,1
154,199000.0,199000.0,60,อื่นๆ,15000.0,CAR,MAZDA,2,2014,AH,283000,S1,2022-12-14,S1,PL,51,9,70.31802120141343,65-75%,1,0
156,30000.0,23223.5,12,อื่นๆ,12000.0,MC,HONDA,WAVE 110 I,2021,DM,44000,S1,2022-09-19,S1,PL,44,2,68.18181818181817,65-75%,0,1
157,29400.0,28747.36,36,เกษตรกร,15000.0,MC,HONDA,PCX 150,2012,BU,39000,S1,2022-09-13,S1,PL,63,11,75.38461538461539,75%,0,1
158,20000.0,18576.18,24,เกษตรกร,10000.0,MC,HONDA,WAVE 110 I,2014,CH,35000,S1,2022-10-27,S1,PL,49,9,57.14285714285714,50-65%,1,0
159,17900.0,16830.06,24,พนักงานบริษัท,9000.0,MC,HONDA,SCOOPY I,2013,BG,24000,S1,2022-06-21,S1,PL,33,10,74.58333333333333,65-75%,1,0
161,34700.0,33810.8,36,เกษตรกร,10000.0,MC,HONDA,WAVE 110 I,2021,DQ,46000,S1,2022-09-30,S1,PL,58,2,75.43478260869566,75%,1,0
162,117000.0,117000.0,60,พนักงานบริษัท,9000.0,CAR,TOYOTA,VIOS,2006,AL,155500,S1,2022-10-15,S1,PL,54,17,75.2411575562701,75%,1,0
163,15000.0,13937.65,30,STREET VENDOR,15000.0,MC,HONDA,WAVE 110 I,2010,AJ,20000,S1,2022-08-11,S1,PL,49,13,75.0,65-75%,0,1
164,73000.0,69432.93,18,STREET VENDOR,40000.0,MC,HONDA,FORZA 300,2018,BK,112500,S1,2022-07-14,S1,PL,30,5,64.88888888888889,65-75%,0,1
165,255000.0,255000.0,60,เกษตรกร,20000.0,PU,TOYOTA,HILUX VIGO,2012,FK,364000,S1,2022-12-28,S1,PL,43,11,70.05494505494505,65-75%,0,1
166,33000.0,32950.31,24,อื่นๆ,14000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,2022-10-12,S1,PL,38,4,75.0,65-75%,1,0
167,24000.0,22909.12,18,STREET VENDOR,20000.0,MC,HONDA,SCOOPY I,2018,BZ,33000,S1,2022-11-18,S1,PL,26,5,72.72727272727273,65-75%,1,0
168,22000.0,20348.67,36,พนักงานรัฐวิสาหกิจ,25000.0,CAR,TOYOTA,VIOS,2011,BE,237500,S1,2022-11-08,S2,PL,46,12,9.263157894736842,30%,1,0
